SIGLA_PARTIDO,NOME_PARTIDO,SIGLA_UF,DESCRICAO_UE,NOME_URNA_CANDIDATO
PP,PROGRESSISTAS,AC,ACRE,GLADSON CAMELI
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,AL,ALAGOAS,RENAN FILHO
PSC,PARTIDO SOCIAL CRISTÃO,AM,AMAZONAS,WILSON LIMA
PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,AP,AMAPÁ,WALDEZ
PT,PARTIDO DOS TRABALHADORES,BA,BAHIA,RUI COSTA
PT,PARTIDO DOS TRABALHADORES,CE,CEARÁ,CAMILO
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,DF,DISTRITO FEDERAL,IBANEIS
PSB,PARTIDO SOCIALISTA BRASILEIRO,ES,ESPÍRITO SANTO,RENATO CASAGRANDE
DEM,DEMOCRATAS,GO,GOIÁS,RONALDO CAIADO
PC do B,PARTIDO COMUNISTA DO BRASIL,MA,MARANHÃO,FLÁVIO DINO
NOVO,PARTIDO NOVO,MG,MINAS GERAIS,ROMEU ZEMA
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MS,MATO GROSSO DO SUL,REINALDO AZAMBUJA
MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PA,PARÁ,HELDER
PSB,PARTIDO SOCIALISTA BRASILEIRO,PB,PARAÍBA,JOÃO
PSB,PARTIDO SOCIALISTA BRASILEIRO,PE,PERNAMBUCO,PAULO CÂMARA
PT,PARTIDO DOS TRABALHADORES,PI,PIAUÍ,WELLINGTON DIAS
PSD,PARTIDO SOCIAL DEMOCRÁTICO,PR,PARANÁ,RATINHO JUNIOR
PSC,PARTIDO SOCIAL CRISTÃO,RJ,RIO DE JANEIRO,WILSON WITZEL
PT,PARTIDO DOS TRABALHADORES,RN,RIO GRANDE DO NORTE,FATIMA BEZERRA
PSL,PARTIDO SOCIAL LIBERAL,RO,RONDÔNIA,CORONEL MARCOS ROCHA
PSL,PARTIDO SOCIAL LIBERAL,RR,RORAIMA,ANTONIO DENARIUM
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,RS,RIO GRANDE DO SUL,EDUARDO LEITE
PSL,PARTIDO SOCIAL LIBERAL,SC,SANTA CATARINA,COMANDANTE MOISÉS
PSD,PARTIDO SOCIAL DEMOCRÁTICO,SE,SERGIPE,BELIVALDO
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,SP,SÃO PAULO,JOÃO DORIA
PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,TO,TOCANTINS,MAURO CARLESSE
